序号,位置,目标,扭矩,速度,电流,温度,电压
1,1639,1638,0,0,0,33,232,END
2,1639,1638,0,0,0,33,232,END
3,1640,1638,8,0,1,33,231,END
4,1639,1638,0,-50,0,33,231,END
5,1639,1638,0,0,0,33,231,END
6,1639,1638,0,0,0,33,231,END
7,1640,1638,8,0,1,33,232,END
8,1639,1638,0,-50,0,33,232,END
9,1639,1638,0,0,0,33,232,END
10,1639,1638,0,0,0,33,232,END
11,1639,1638,0,0,1,32,232,END
12,1640,1638,8,50,1,33,232,END
13,1639,1638,0,-50,0,33,232,END
14,1639,1638,0,0,0,33,231,END
15,1639,1638,0,0,0,33,232,END
16,1640,1638,8,50,1,33,231,END
17,1639,1638,0,0,0,33,232,END
18,1639,1638,0,0,1,33,231,END
19,1640,1638,8,50,1,33,231,END
20,1639,1638,0,-50,0,33,232,END
21,1639,1638,0,0,0,33,232,END
22,1639,1638,0,0,0,33,232,END
23,1640,1638,8,50,1,33,232,END
24,1639,1638,0,-50,0,33,231,END
25,1639,1638,0,0,0,33,231,END
26,1639,1638,0,0,0,33,232,END
27,1639,1638,0,0,0,33,231,END
28,1640,1638,8,0,2,33,231,END
29,1639,1638,0,0,0,33,232,END
30,1639,1638,0,0,0,33,232,END
31,1639,1638,0,0,0,33,232,END
32,1640,1638,8,0,1,33,232,END
33,1639,1638,0,0,0,33,231,END
34,1639,1638,0,0,0,33,232,END
35,1640,1638,8,50,1,33,232,END
36,1639,1638,0,-50,0,33,232,END
37,1639,1638,0,0,0,33,231,END
38,1639,1638,0,0,0,33,232,END
39,1639,1638,0,0,0,33,232,END
40,1640,1638,8,0,1,33,232,END
41,1639,1638,0,0,0,33,232,END
42,1639,1638,0,0,0,33,232,END
43,1639,1638,0,0,0,33,231,END
44,1639,1638,-4,0,1,33,232,END
45,1639,1638,0,0,0,33,232,END
46,1639,1638,0,0,0,33,232,END
47,1640,1638,8,50,1,33,232,END
48,1639,1638,0,-50,0,33,232,END
49,1639,1638,0,0,0,33,232,END
50,1639,1638,0,0,0,33,231,END
51,1639,1638,0,0,0,33,232,END
52,1640,1638,8,0,1,33,231,END
53,1639,1638,0,0,0,33,232,END
54,1639,1638,0,0,0,33,232,END
55,1639,1638,0,0,0,33,232,END
56,1640,1638,8,50,1,33,232,END
57,1639,1638,0,0,0,33,231,END
58,1639,1638,0,0,0,33,231,END
59,1639,1638,0,0,0,33,232,END
60,1640,1638,8,0,1,33,232,END
61,1639,1638,0,0,0,33,232,END
62,1639,1638,0,0,0,33,232,END
63,1639,1638,0,0,1,33,232,END
64,1640,1638,8,50,1,33,232,END
65,1639,1638,0,0,0,33,231,END
66,1639,1638,0,0,0,33,232,END
67,1640,1638,8,50,1,33,231,END
68,1639,1638,0,-50,0,33,232,END
69,1639,1638,0,0,0,33,231,END
70,1639,1638,0,0,0,33,231,END
71,1639,1638,0,0,0,33,232,END
72,1640,1638,8,0,1,33,232,END
73,1639,1638,0,-50,0,33,232,END
74,1639,1638,0,0,0,33,232,END
75,1639,1638,0,0,0,33,232,END
76,1640,1638,8,0,1,33,231,END
